     | /proc/meminfo     | /proc/pressure/memory
Time | MemAvail SwapFree | some avg10 full avg10
   s |      MiB      MiB |    %     %    %     %
     -                   -                      
39.8 |      363     3818 |   48    79   35    12
39.9 |      368     3818 |    3    79    1    12
40.0 |      361     3823 |   49    79   19    12
40.1 |      350     3829 |   40    79   13    12
40.2 |      346     3831 |   15    79    7    12
40.3 |      345     3833 |    2    79    2    12
40.4 |      342     3835 |    6    79    4    12
40.5 |      340     3837 |    3    79    2    12
40.6 |      337     3839 |    5    79    4    12
40.7 |      335     3839 |    1    79    0    12
40.8 |      339     3839 |    3    79    1    12
40.9 |      338     3839 |    0    79    0    12
41.0 |      338     3839 |    0    79    0    12
41.1 |      338     3839 |    0    79    0    12
41.2 |      338     3839 |    0    79    0    12
41.3 |      337     3839 |   18    79   14    12
41.4 |      337     3839 |   16    79   14    12
41.5 |      336     3839 |    0    79    0    12
41.6 |      336     3839 |    0    79    0    12
41.7 |      336     3839 |    0    66    0    11
41.8 |      337     3839 |    0    66    0    11
41.9 |      336     3839 |    0    66    0    11
42.0 |      336     3839 |    0    66    0    11
42.1 |      333     3840 |    0    66    0    11
42.2 |      334     3840 |    0    66    0    11
42.3 |      334     3840 |    0    66    0    11
42.4 |      334     3840 |    1    66    0    11
42.5 |      334     3840 |    1    66    1    11
42.6 |      329     3840 |    0    66    0    11
42.7 |      329     3841 |    1    66    0    11
42.8 |      329     3841 |    0    66    0    11
42.9 |      329     3841 |    0    66    0    11
43.0 |      328     3841 |    0    66    0    11
43.1 |      328     3841 |    7    66    6    11
43.2 |      328     3841 |    7    66    6    11
43.3 |      327     3841 |    0    66    0    11
43.4 |      327     3841 |    0    66    0    11
43.5 |      327     3841 |    0    66    0    11
43.6 |      327     3841 |    0    54    0     9
43.7 |      327     3841 |    3    54    1     9
43.8 |      332     3841 |    0    54    0     9
43.9 |      332     3841 |    0    54    0     9
44.0 |      332     3841 |    0    54    0     9
44.1 |      329     3841 |    0    54    0     9
44.2 |      330     3841 |    0    54    0     9
44.3 |      330     3841 |    0    54    0     9
44.4 |      329     3841 |    0    54    0     9
44.5 |      329     3841 |    0    54    0     9
44.6 |      329     3841 |    0    54    0     9
44.7 |      329     3841 |    0    54    0     9
44.8 |      329     3841 |    0    54    0     9
44.9 |      329     3841 |    0    54    0     9
45.0 |      324     3843 |   12    54    5     9
45.1 |      321     3846 |    8    54    3     9
45.2 |      322     3846 |    0    54    0     9
45.3 |      322     3846 |    0    54    0     9
45.4 |      321     3846 |    0    54    0     9
