     | /proc/meminfo     | /proc/pressure/memory
Time | MemAvail SwapFree | some avg10 full avg10
   s |      MiB      MiB |    %     %    %     %
     -                   -
[...]
72.1 |       84     1349 |  100    99   67    72
72.2 |       85     1340 |  102    99   78    72
72.3 |       84     1319 |  100    99   59    72
72.4 |       84     1307 |  100    99   73    72
72.5 |       85     1286 |  102    99   68    72
72.6 |       85     1274 |  100    99   76    72
72.7 |       84     1254 |  100    99   60    72
72.8 |       84     1238 |  100    99   73    72
72.9 |       84     1229 |  100    99   83    72
73.0 |       84     1217 |  100    99   72    72
73.1 |       85     1206 |  100    99   76    72
73.2 |       84     1199 |  100    99   82    72
73.3 |       84     1184 |  100    99   72    72
73.4 |       84     1173 |  100    99   69    72
73.5 |       85     1168 |  100    99   83    72
73.6 |       86     1163 |  100    99   87    72
73.7 |       88     1153 |  100    99   72    72
73.8 |       91     1138 |  100    99   84    72
73.9 |       91     1131 |  100    99   72    72
74.0 |       91     1121 |  100    99   75    72
74.1 |       92     1113 |  100    99   72    72
74.2 |       92     1107 |  100    99   86    72
74.3 |       92     1094 |  101    99   74    72
74.4 |       94     1083 |  102    99   73    72
74.5 |       93     1073 |  100    99   79    72
74.6 |       95     1052 |  100    99   69    72
74.8 |       97     1030 |  130    99   71    72
74.9 |       96      994 |  100    99   39    72
75.0 |       95      976 |  100    99   46    72
75.1 |       95      962 |  100    99   55    72
75.2 |       96      951 |  100    99   70    72
75.3 |      100      930 |  100    99   18    72
75.4 |       98      901 |  100    99   52    72
75.5 |       98      880 |  101    99   56    72
75.6 |      102      847 |  100    99   32    70
75.7 |      103      841 |  100    99   67    70
75.8 |      105      821 |  107    99   60    70
75.9 |      104      810 |  100    99   72    70
76.0 |      105      806 |  100    99   79    70
76.1 |      107      795 |  100    99   76    70
76.2 |      107      786 |  100    99   73    70
76.3 |      107      777 |  100    99   76    70
76.4 |      109      774 |  100    99   75    70
76.5 |      110      768 |  100    99   80    70
76.6 |      112      761 |  100    99   81    70
76.7 |      119      750 |  129    99   97    70
76.8 |      116      733 |  104    99   74    70
76.9 |      122      724 |  130    99   89    70
77.1 |      122      715 |  100    99   69    70
77.2 |      123      710 |  100    99   81    70
77.3 |      125      704 |  100    99   79    70
77.4 |      127      699 |  100    99   79    70
77.5 |      129      689 |  100    99   75    70
77.6 |      131      685 |  100    99   77    70
77.7 |      136      675 |  118    99   86    70
77.8 |      138      663 |  100    99   63    70
77.9 |      142      650 |  103    99   65    70
78.0 |      146      629 |  103    99   50    70
78.1 |      147      624 |  100    99   63    70
78.2 |      149      604 |  100    99   66    70
78.3 |      151      600 |  100    99   80    70
78.4 |      147      579 |  100    99   65    70
78.5 |      149      558 |  100    99   61    70
78.6 |      147      551 |  100    99   84    70
78.7 |      148      520 |  109    99   51    70
78.8 |      148      502 |  103    99   69    70
78.9 |      148      472 |  102    99   58    70
79.0 |      147      453 |  100    99   63    70
79.1 |      147      444 |  100    99   79    70
79.2 |      147      434 |  100    99   80    70
79.3 |      147      420 |  109    99   73    70
79.4 |      151      411 |  100    99   67    70
79.5 |      147      388 |  100    99   58    70
79.6 |      150      383 |  106    99   87    70
79.7 |      147      363 |  100    99   59    70
79.8 |      148      357 |  109    99   87    70
79.9 |      148      339 |  100    99   69    70
80.0 |      148      339 |  100    99   97    70
80.1 |      148      332 |  100    99   80    70
80.2 |      149      317 |  116    99   85    70
80.3 |      148      305 |  122    99   99    70
80.5 |      150      293 |  131    99   95    70
80.6 |      148      279 |  100    99   73    70
# system hangs here
174.3 |     1239       18 | 93694   100 75743    80
174.4 |     1228      597 |  125   100    0    80
174.5 |     1255     1434 |  108   100    0    80
174.6 |     1320     2144 |   69   100    0    80
174.7 |     1460     2724 |   56   100    0    80
174.8 |     1745     3271 |  100   100    0    80
175.0 |     2742     4323 |  222   100    0    80
175.2 |     3286     4797 |  110   100    0    80
175.3 |     3973     5188 |   75   100    0    80
175.4 |     5011     5547 |   51   100    0    80
175.5 |     6206     5702 |   57   100    7    80
175.6 |     6492     5704 |   85   100   25    80
175.7 |     6486     5706 |   90    98   39    70
175.8 |     6481     5707 |   93    98   36    70
175.9 |     6476     5709 |   99    98   47    70
176.0 |     6473     5712 |  100    98   41    70
176.1 |     6469     5714 |   88    98   38    70
176.2 |     6464     5716 |   93    98   40    70
176.3 |     6461     5717 |  101    98   50    70
176.4 |     6457     5719 |   84    98   41    70
176.5 |     6454     5721 |   99    98   45    70
176.6 |     6451     5722 |   95    98   46    70
176.7 |     6435     5724 |   82    98   32    70
176.8 |     6431     5726 |   69    98   36    70
176.9 |     6429     5728 |   87    98   25    70
177.0 |     6423     5731 |   99    98   19    70
177.1 |     6416     5734 |   95    98    0    70
177.2 |     6411     5738 |  128    98   16    70
177.3 |     6406     5741 |   99    98   13    70
177.4 |     6402     5743 |  101    98    8    70
177.5 |     6399     5745 |   62    98    9    70
177.6 |     6395     5747 |   75    98   12    70
177.7 |     6391     5749 |   81    96   22    62
177.8 |     6389     5751 |   85    96   33    62
177.9 |     6389     5756 |   90    96   25    62


